campaign_name,channel,campaign_type,region,objective,quarter,impressions,clicks,conversions,spend,revenue,likes,shares,comments,video_views,bounce_rate,ctr,cpc,cost_per_conversion,roas,engagement_rate,conversion_rate
Campaign_148,TikTok,Engagement,Europe,Awareness,Q2_2024,108723,8470,4161,32753.53,292155.55,33855,6150,2164,164437,24.1,7.79,3.87,7.87,8.92,38.79,49.13
Campaign_149,Facebook,Retargeting,Europe,Retention,Q1_2024,585644,35411,542,72717.84,130841.17,40490,3726,2552,19446,35.8,6.05,2.05,134.17,1.8,7.99,1.53
Campaign_150,Email,Retargeting,LATAM,Retention,Q1_2024,282933,22091,1181,74837.86,263256.37,23811,4491,2984,2336,22.77,7.81,3.39,63.37,3.52,11.06,5.35
Campaign_151,Pinterest,Brand Awareness,APAC,Leads,Q2_2024,894152,32321,3571,20835.56,174613.48,26222,7908,2286,62032,54.03,3.61,0.64,5.83,8.38,4.07,11.05
Campaign_152,YouTube,Conversion,APAC,Traffic,Q4_2024,863088,10003,360,86944.16,268461.27,9260,6558,2654,97852,37.03,1.16,8.69,241.51,3.09,2.14,3.6
Campaign_153,X (Twitter),Retargeting,LATAM,Traffic,Q2_2024,840460,48417,788,71777.48,67242.05,27313,2303,318,138593,69.47,5.76,1.48,91.09,0.94,3.56,1.63
Campaign_154,Facebook,Lead Gen,LATAM,Sales,Q4_2024,860916,19422,3291,56712.28,70693.75,39520,4847,2618,154553,24.45,2.26,2.92,17.23,1.25,5.46,16.94
Campaign_155,LinkedIn,Conversion,Europe,Leads,Q2_2024,42154,12675,595,47681.71,76053.47,7521,7768,3088,18474,33.58,30.07,3.76,80.14,1.6,43.59,4.69
Campaign_156,Instagram,Engagement,APAC,Sales,Q3_2024,223942,41624,2511,54780.05,470210.8,21500,6803,2261,177832,63.81,18.59,1.32,21.82,8.58,13.65,6.03
Campaign_157,Email,Brand Awareness,LATAM,Sales,Q4_2024,274480,21889,4396,16765.33,367784.96,33637,7648,1042,55718,55.93,7.97,0.77,3.81,21.94,15.42,20.08
Campaign_158,Snapchat,Engagement,Europe,Sales,Q3_2024,375821,48338,4904,21166.42,85379.04,17827,8003,3494,44629,23.87,12.86,0.44,4.32,4.03,7.8,10.15
Campaign_159,X (Twitter),Conversion,APAC,Awareness,Q1_2024,864211,1322,1854,10025.28,98232.8,46982,6017,2639,45232,72.63,0.15,7.58,5.41,9.8,6.44,140.24
Campaign_160,YouTube,Conversion,North America,Awareness,Q2_2024,291173,17827,3262,16212.15,366760.59,4458,5552,3988,86544,72.64,6.12,0.91,4.97,22.62,4.81,18.3
Campaign_161,X (Twitter),Conversion,Europe,Sales,Q1_2024,855633,47557,3860,45915.67,82301.1,28582,9102,1783,198241,39.82,5.56,0.97,11.9,1.79,4.61,8.12
Campaign_162,Facebook,Engagement,APAC,Leads,Q1_2024,42265,6650,863,53505.08,121107.84,32217,6366,3900,50669,40.42,15.73,8.05,62.0,2.26,100.52,12.98
Campaign_163,TikTok,Conversion,APAC,Traffic,Q1_2024,375060,4925,4174,2768.33,481856.68,23264,8443,1129,69184,79.34,1.31,0.56,0.66,174.06,8.75,84.75
Campaign_164,Instagram,Engagement,Europe,Leads,Q1_2024,253322,16532,2082,79882.98,131376.73,32010,7390,702,179017,57.57,6.53,4.83,38.37,1.64,15.83,12.59
Campaign_165,Instagram,Conversion,North America,Retention,Q2_2024,184944,2698,4622,30122.63,332508.01,32596,2395,2184,13140,51.88,1.46,11.16,6.52,11.04,20.1,171.31
Campaign_166,Snapchat,Lead Gen,Europe,Awareness,Q1_2024,580485,20579,4463,91271.77,489422.49,44411,4278,1409,126468,70.29,3.55,4.44,20.45,5.36,8.63,21.69
Campaign_167,TikTok,Conversion,APAC,Traffic,Q2_2024,922165,36720,294,96783.62,190276.9,29471,681,1048,83457,37.12,3.98,2.64,329.2,1.97,3.38,0.8
Campaign_168,Pinterest,Engagement,LATAM,Traffic,Q2_2024,458396,42374,4893,19360.43,13670.42,38567,173,1934,14357,45.75,9.24,0.46,3.96,0.71,8.87,11.55
Campaign_169,Google Ads,Retargeting,LATAM,Retention,Q3_2024,164782,14359,4842,46747.63,125852.91,17725,8666,1018,111672,36.07,8.71,3.26,9.65,2.69,16.63,33.72
Campaign_170,Email,Conversion,Europe,Retention,Q4_2024,694846,31919,321,1121.95,416284.21,33993,4602,231,68673,67.35,4.59,0.04,3.5,371.04,5.59,1.01
Campaign_171,Instagram,Retargeting,APAC,Sales,Q4_2024,81907,9205,3561,60234.4,432981.37,10893,4805,1833,121673,54.4,11.24,6.54,16.92,7.19,21.4,38.69
Campaign_172,LinkedIn,Lead Gen,LATAM,Awareness,Q2_2024,925308,43380,1821,61123.34,385417.09,31107,4808,4922,65633,59.53,4.69,1.41,33.57,6.31,4.41,4.2
Campaign_173,Instagram,Brand Awareness,APAC,Awareness,Q3_2024,212967,23736,1312,25506.46,60989.36,25866,6046,2028,96111,35.14,11.15,1.07,19.44,2.39,15.94,5.53
Campaign_174,X (Twitter),Lead Gen,Europe,Leads,Q2_2024,860867,22919,2474,56282.85,398777.63,39632,2365,4971,78258,33.21,2.66,2.46,22.75,7.09,5.46,10.79
Campaign_175,Instagram,Conversion,LATAM,Sales,Q2_2024,312775,20478,4411,23328.47,459745.51,12423,5897,2457,143996,49.3,6.55,1.14,5.29,19.71,6.64,21.54
Campaign_176,Instagram,Retargeting,APAC,Sales,Q2_2024,401182,38109,970,16921.72,302301.72,45899,7971,2090,69286,64.25,9.5,0.44,17.45,17.86,13.95,2.55
Campaign_177,Google Ads,Retargeting,LATAM,Sales,Q3_2024,766892,15858,3480,65500.43,470733.3,46920,5837,4288,93269,51.51,2.07,4.13,18.82,7.19,7.44,21.94
Campaign_178,Google Ads,Engagement,Europe,Sales,Q4_2024,292247,34677,4485,33266.62,414285.25,45508,8747,1085,74071,21.96,11.87,0.96,7.42,12.45,18.94,12.93
Campaign_179,YouTube,Retargeting,APAC,Awareness,Q3_2024,74772,29878,4534,59436.13,335150.9,7943,4729,2325,188398,72.11,39.96,1.99,13.11,5.64,20.06,15.18
Campaign_180,Pinterest,Engagement,LATAM,Awareness,Q1_2024,136108,37834,2674,43891.43,290706.69,14310,603,3195,30651,23.88,27.8,1.16,16.41,6.62,13.3,7.07
Campaign_181,LinkedIn,Brand Awareness,Europe,Sales,Q3_2024,24382,11882,3810,98450.79,177543.97,16556,4849,2635,70202,77.35,48.73,8.29,25.84,1.8,98.6,32.07
Campaign_182,Instagram,Conversion,LATAM,Leads,Q3_2024,94291,15096,2100,15808.48,83847.29,31467,7404,2568,48777,21.51,16.01,1.05,7.53,5.3,43.95,13.91
Campaign_183,Instagram,Engagement,LATAM,Traffic,Q3_2024,373339,34072,3550,46995.26,304452.19,10206,9661,3297,148066,61.67,9.13,1.38,13.24,6.48,6.2,10.42
Campaign_184,Email,Brand Awareness,North America,Traffic,Q3_2024,669116,13721,1215,68365.21,162465.22,38057,3503,4626,67263,24.93,2.05,4.98,56.27,2.38,6.9,8.86
Campaign_185,Google Ads,Retargeting,North America,Leads,Q4_2024,292753,1779,425,40158.96,433887.14,2572,6174,3591,190706,74.64,0.61,22.57,94.49,10.8,4.21,23.89
Campaign_186,LinkedIn,Retargeting,Europe,Sales,Q1_2024,157550,46460,2083,97495.29,496701.78,49959,2682,4436,100158,47.87,29.49,2.1,46.81,5.09,36.23,4.48
Campaign_187,Snapchat,Brand Awareness,North America,Awareness,Q4_2024,242050,7583,195,72466.88,377451.74,6804,4210,2952,10800,28.25,3.13,9.56,371.63,5.21,5.77,2.57
Campaign_188,YouTube,Retargeting,Europe,Traffic,Q4_2024,442882,44361,4438,66041.4,49788.44,3813,26,3964,37823,40.45,10.02,1.49,14.88,0.75,1.76,10.0
Campaign_189,Pinterest,Brand Awareness,North America,Retention,Q3_2024,347827,18271,481,75948.87,147899.37,5151,3201,2818,63878,29.89,5.25,4.16,157.9,1.95,3.21,2.63
Campaign_190,TikTok,Engagement,LATAM,Retention,Q2_2024,502313,30475,754,95312.22,59009.27,10856,402,2588,18708,30.23,6.07,3.13,126.41,0.62,2.76,2.47
Campaign_191,Pinterest,Engagement,Europe,Leads,Q2_2024,396858,46148,2682,90874.05,327003.27,2575,8626,166,143891,76.89,11.63,1.97,33.88,3.6,2.86,5.81
Campaign_192,X (Twitter),Brand Awareness,Europe,Sales,Q4_2024,664618,48785,4544,72704.25,383769.48,36478,6282,598,63870,46.71,7.34,1.49,16.0,5.28,6.52,9.31
Campaign_193,Instagram,Engagement,LATAM,Traffic,Q4_2024,605603,19563,1013,75167.0,463209.04,4355,581,3264,9283,67.33,3.23,3.84,74.2,6.16,1.35,5.18
Campaign_194,YouTube,Engagement,Europe,Sales,Q3_2024,874266,2606,2284,15446.29,221895.31,14584,3641,4160,161645,58.38,0.3,5.93,6.76,14.37,2.56,87.64
Campaign_195,X (Twitter),Engagement,Europe,Traffic,Q4_2024,398349,25057,2091,11176.45,451180.95,34603,6182,2967,78707,60.59,6.29,0.45,5.35,40.37,10.98,8.34
Campaign_196,LinkedIn,Lead Gen,North America,Leads,Q3_2024,24153,49354,1878,57519.55,439556.12,8358,9322,3893,162005,27.9,204.34,1.17,30.63,7.64,89.32,3.81
Campaign_197,TikTok,Conversion,Europe,Leads,Q2_2024,610613,21107,2158,2818.4,162011.88,40847,7187,3395,5774,34.05,3.46,0.13,1.31,57.48,8.42,10.22
Campaign_198,Google Ads,Retargeting,APAC,Retention,Q2_2024,250773,38099,4118,48753.28,435105.81,35296,8443,4506,142055,67.21,15.19,1.28,11.84,8.92,19.24,10.81
Campaign_199,YouTube,Lead Gen,LATAM,Sales,Q1_2024,940503,29029,988,21824.61,190957.76,45213,3907,668,96468,78.25,3.09,0.75,22.09,8.75,5.29,3.4
